Country,Pop1955,Pop1960,Pop1965,Pop1970,Pop1975,Pop1980,Pop1985,Pop1990,Pop1995,Pop2000,Pop2005,Group,Cluster,F1950,F1955,F1960,F1965,F1970,F1975,F1980,F1985,F1990,F1995,F2000,F2005,L1950,L1955,L1960,L1965,L1970,L1975,L1980,L1985,L1990,L1995,L2000,L2005
Lebanon,1560985,1786235,2057945,2383029,3098159,3085876,3088235,3147267,3334733,3578036,3826018,Middle East & North Africa,5,5.74,5.72,5.689,5.336,4.78,4.311,3.895,3.313,3,2.695,2.319,2.209,55.928,59.489,62.094,63.87,65.421,66.099,66.983,67.926,69.292,70.265,71.028,71.993
Lesotho,786192,858551,952459,1067136,1195487,1344218,1521382,1721563,1919569,2037961,2031348,Sub-Saharan Africa,2,5.84,5.861,5.811,5.8,5.8,5.686,5.459,5.135,4.701,4.373,3.793,3.373,42.138,45.047,47.747,48.492,49.767,52.208,55.078,57.18,59.685,55.558,44.593,42.592
Liberia,928269,1054837,1208749,1396565,1616410,1848979,2136793,2116666,1974588,2693780,2900269,Sub-Saharan Africa,2,6.45,6.65,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.8,6.8,6.773,38.48,39.486,40.502,41.536,42.614,43.764,44.852,46.027,40.802,42.221,43.753,45.678
Libya,1122475,1337947,1623770,1999162,2569606,3065365,3675422,4139825,4654252,5115450,5765563,Middle East & North Africa,5,6.868,6.97,7.175,7.483,7.585,7.38,7.175,5.65,4.1,3.411,3.03,2.724,42.723,45.289,47.808,50.227,52.773,57.442,62.155,66.234,68.755,71.555,72.737,73.952
Lithuania,2614336,2764864,2959173,3137562,3305195,3435289,3587032,3694836,3673577,3654387,3596617,Europe & Central Asia,1,2.71,2.66,2.4,2.27,2.32,2.12,2.03,2.09,1.812,1.471,1.276,1.264,64.8,67.78,69.4,71.92,71.26,71.04,71.06,72.14,70.4,70.98,71.93,72.962
Luxembourg,304777,313969,331500,339174,358950,364400,367169,382966,409704,438777,468571,Europe & Central Asia,1,1.98,2.23,2.395,2.192,1.722,1.486,1.465,1.469,1.663,1.7213,1.67,1.6596,65.92,67.47,68.67,69.69,70.71,71.76,72.47,74.15,75.17,76.82,78.09,78.09
Macao,192684,186053,223820,261369,254331,255773,305843,351756,401452,431338,449198,East Asia & Pacific,4,5.03,4.9,5.1,3,3.2,2,2.5,2.05,1.55,1.116,0.842,0.906,53.95,56.99,61.03,65,66.42,69.43,74.03,76.04,77.3,78.809,79.982,80.718
Madagascar,5002657,5481721,6070004,6765644,7603790,8676821,9981292,11522099,13340359,15506472,18040341,Sub-Saharan Africa,2,6.8,6.8,6.8,6.8,6.7,6.6,6.4,6.3,6.124,5.801,5.278,4.776,36.681,38.865,40.848,42.881,44.851,46.881,48.969,49.35,52.214,54.978,57.286,59.443
Malawi,3088155,3450444,3914095,4489313,5267679,6129035,7123455,9286655,9912344,11258163,12707464,Sub-Saharan Africa,2,6.78,6.84,7,7.2,7.4,7.6,7.488,7.159,6.763,6.44,6.032,5.593,36.256,37.207,38.41,39.487,41.766,43.767,45.642,47.457,49.42,47.495,45.009,48.303
Malaysia,7311720,8428493,9647654,10910216,12267303,13764352,15545028,17503607,19611116,21793293,23953136,East Asia & Pacific,4,6.833,6.944,6.724,5.941,5.15,4.161,4.242,3.996,3.47,3.1,2.8745,2.5972,48.463,52.102,55.737,59.371,63.01,65.256,68,69.5,70.693,71.938,73.044,74.241
